spectrum,wavelength_nm,T_exp,T_fit,RMSE,material_1_name,material_1_thickness_nm,material_1_shape,material_1_volume_fraction,inclusion_1_name,inclusion_1_shape,inclusion_1_volume_fraction,material_2_name,material_2_thickness_nm,material_2_shape,material_2_volume_fraction,inclusion_2_name,inclusion_2_shape,inclusion_2_volume_fraction,material_3_name,material_3_thickness_nm,material_3_shape,material_3_volume_fraction,inclusion_3_name,inclusion_3_shape,inclusion_3_volume_fraction
51,500.4040718028992,0.14545006570302235,0.12101989603662494,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,500.8313450101691,0.14527054598873745,0.12118711252151963,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,501.25860749068386,0.1455078125,0.12135815080781073,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,501.6858592444434,0.14603379962804236,0.12153188826710162,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,502.11310027144776,0.14578148831982018,0.12170701268747419,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,502.540330571697,0.14681174493959517,0.12188728185163455,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,502.967550145191,0.1463919166202562,0.12206754701703247,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,503.3947589919298,0.14710076045627377,0.12225332646799593,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,503.82195711191343,0.14877797990983152,0.12244015100681281,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,504.24914450514194,0.14906637376431822,0.12263005845720845,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,504.6763211716152,0.14784169854031692,0.12282345350865465,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,505.10348711133327,0.14994152046783626,0.12301751287544874,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,505.5306423242962,0.14953850926859535,0.12321749051718242,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,505.95778681050393,0.14904772920040096,0.12341751022619614,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,506.3849205699565,0.1486113242289397,0.12362229864816171,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,506.81204360265383,0.14960268948655256,0.1238289290555096,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,507.239155908596,0.14885727258967762,0.1240379149959551,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,507.666257487783,0.14981188863807374,0.12425116848405078,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,508.0933483402148,0.14939867035183388,0.1244644967306488,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,508.5204284658914,0.15093357137543703,0.12468426504244613,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,508.9474978648129,0.15159574468085107,0.1249042448847567,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,509.3745565369791,0.15143929912390489,0.12512825606945627,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,509.8016044823902,0.15059493393678372,0.12535489882206077,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,510.2286417010461,0.151440209485016,0.12558261859797568,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,510.6556681929468,0.15161173487866714,0.12581357760854364,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,511.08268395809233,0.1510832793493126,0.12604465403039425,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,511.5096889964827,0.1509433962264151,0.12627781093366952,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,511.93668330811784,0.15098499395491075,0.12651139970612613,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,512.3636668929978,0.15177495925742224,0.12674663128141372,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,512.7906397511226,0.1510574018126888,0.12698355589243138,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,513.2176018824922,0.15170776000558775,0.12722108644079352,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,513.6445532871066,0.15268130036121144,0.12746217910454938,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,514.0714939649658,0.15359116022099448,0.1277034227504728,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,514.4984239160699,0.1530821917808219,0.12794834366608476,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,514.9253431404188,0.15368852459016394,0.12819461430792084,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,515.3522516380125,0.15328665624362722,0.1284431360591426,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
51,515.7791494088509,0.15305639986491051,0.12869528963097054,0.022098287822093728,Cu,32.0,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,Cu,sphere,0.0,CuO,1.1500969657897948,sphere,1.0,,,
