spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_matrix_fraction,layer_2_matrix,layer_2_thickness_nm,layer_2_matrix_shape,layer_2_inc_1_material,layer_2_inc_1_shape,layer_2_inc_1_fraction,layer_2_inc_2_material,layer_2_inc_2_shape,layer_2_inc_2_fraction,layer_2_matrix_fraction
49,465.75931846007023,0.11825726141078838,0.10898155223098563,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,466.18746053451,0.11815616180620885,0.10910394754069781,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,466.6155918821946,0.11759207328472612,0.1091102280549134,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,467.0437125031241,0.11796296296296296,0.10911644884798752,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,467.47182239729835,0.11917382562602814,0.1091233305174859,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,467.8999215647174,0.11872394417255755,0.10913010238605916,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,468.32801000538126,0.11761537080265756,0.10913703546392443,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,468.75608771928995,0.11916636978981118,0.10914398034016473,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,469.1841547064435,0.11918656056587092,0.10915080418325274,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,469.6122109668418,0.11844420978528687,0.10915749454490287,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,470.040256500485,0.11965065502183406,0.10916407552437483,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,470.4682913073729,0.12095664143152099,0.10916881843311355,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,470.8963153875057,0.1198508221732497,0.10917336533666856,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,471.3243287408833,0.11905559276624246,0.10917653282823432,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,471.7523313675057,0.11901210011602852,0.10917867899114471,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,472.18032326737296,0.11730013106159895,0.10918061546973086,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,472.60830444048497,0.11675868788567717,0.1091820547576419,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,473.03627488684185,0.11629032258064516,0.10918339096066577,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,473.46423460644354,0.11712,0.10918562168614855,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,473.89218359929004,0.11657414750198256,0.10918793664582152,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
49,474.32012186538134,0.11643620364550597,0.10919150119239929,0.0024995310816101146,Cu,32.55229365825653,sphere,1.0,Cu,0.9790509510785341,sphere,Cu2O,chain,0.6410711572971195,CuO,chain,0.0,0.3589288427028805
