spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_matrix_fraction,layer_2_matrix,layer_2_thickness_nm,layer_2_matrix_shape,layer_2_inc_1_material,layer_2_inc_1_shape,layer_2_inc_1_fraction,layer_2_matrix_fraction,layer_3_matrix,layer_3_thickness_nm,layer_3_matrix_shape,layer_3_matrix_fraction
49,465.75931846007023,0.11825726141078838,0.10982284120025698,0.002522214467913099,Cu,31.81485080718994,sphere,1.0,Cu,0.9790958017110825,sphere,Cu2O,chain,0.0,1.0,CuO,0.0,sphere,1.0
49,466.18746053451,0.11815616180620885,0.10994382908979501,0.002522214467913099,Cu,31.81485080718994,sphere,1.0,Cu,0.9790958017110825,sphere,Cu2O,chain,0.0,1.0,CuO,0.0,sphere,1.0
49,466.6155918821946,0.11759207328472612,0.10994354818839788,0.002522214467913099,Cu,31.81485080718994,sphere,1.0,Cu,0.9790958017110825,sphere,Cu2O,chain,0.0,1.0,CuO,0.0,sphere,1.0
49,467.0437125031241,0.11796296296296296,0.10994322367166623,0.002522214467913099,Cu,31.81485080718994,sphere,1.0,Cu,0.9790958017110825,sphere,Cu2O,chain,0.0,1.0,CuO,0.0,sphere,1.0
49,467.47182239729835,0.11917382562602814,0.1099436278159562,0.002522214467913099,Cu,31.81485080718994,sphere,1.0,Cu,0.9790958017110825,sphere,Cu2O,chain,0.0,1.0,CuO,0.0,sphere,1.0
49,467.8999215647174,0.11872394417255755,0.10994393450380603,0.002522214467913099,Cu,31.81485080718994,sphere,1.0,Cu,0.9790958017110825,sphere,Cu2O,chain,0.0,1.0,CuO,0.0,sphere,1.0
49,468.32801000538126,0.11761537080265756,0.10994445016347426,0.002522214467913099,Cu,31.81485080718994,sphere,1.0,Cu,0.9790958017110825,sphere,Cu2O,chain,0.0,1.0,CuO,0.0,sphere,1.0
49,468.75608771928995,0.11916636978981118,0.10994500573852398,0.002522214467913099,Cu,31.81485080718994,sphere,1.0,Cu,0.9790958017110825,sphere,Cu2O,chain,0.0,1.0,CuO,0.0,sphere,1.0
49,469.1841547064435,0.11918656056587092,0.10994546652369715,0.002522214467913099,Cu,31.81485080718994,sphere,1.0,Cu,0.9790958017110825,sphere,Cu2O,chain,0.0,1.0,CuO,0.0,sphere,1.0
49,469.6122109668418,0.11844420978528687,0.10994583590246469,0.002522214467913099,Cu,31.81485080718994,sphere,1.0,Cu,0.9790958017110825,sphere,Cu2O,chain,0.0,1.0,CuO,0.0,sphere,1.0
49,470.040256500485,0.11965065502183406,0.10994610787504047,0.002522214467913099,Cu,31.81485080718994,sphere,1.0,Cu,0.9790958017110825,sphere,Cu2O,chain,0.0,1.0,CuO,0.0,sphere,1.0
49,470.4682913073729,0.12095664143152099,0.10994457331516486,0.002522214467913099,Cu,31.81485080718994,sphere,1.0,Cu,0.9790958017110825,sphere,Cu2O,chain,0.0,1.0,CuO,0.0,sphere,1.0
49,470.8963153875057,0.1198508221732497,0.10994285576494188,0.002522214467913099,Cu,31.81485080718994,sphere,1.0,Cu,0.9790958017110825,sphere,Cu2O,chain,0.0,1.0,CuO,0.0,sphere,1.0
49,471.3243287408833,0.11905559276624246,0.10993978168784992,0.002522214467913099,Cu,31.81485080718994,sphere,1.0,Cu,0.9790958017110825,sphere,Cu2O,chain,0.0,1.0,CuO,0.0,sphere,1.0
49,471.7523313675057,0.11901210011602852,0.10993570618074812,0.002522214467913099,Cu,31.81485080718994,sphere,1.0,Cu,0.9790958017110825,sphere,Cu2O,chain,0.0,1.0,CuO,0.0,sphere,1.0
49,472.18032326737296,0.11730013106159895,0.10993144220657076,0.002522214467913099,Cu,31.81485080718994,sphere,1.0,Cu,0.9790958017110825,sphere,Cu2O,chain,0.0,1.0,CuO,0.0,sphere,1.0
49,472.60830444048497,0.11675868788567717,0.10992672708272316,0.002522214467913099,Cu,31.81485080718994,sphere,1.0,Cu,0.9790958017110825,sphere,Cu2O,chain,0.0,1.0,CuO,0.0,sphere,1.0
49,473.03627488684185,0.11629032258064516,0.10992192091552706,0.002522214467913099,Cu,31.81485080718994,sphere,1.0,Cu,0.9790958017110825,sphere,Cu2O,chain,0.0,1.0,CuO,0.0,sphere,1.0
