spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_matrix_fraction,layer_2_matrix,layer_2_thickness_nm,layer_2_matrix_shape,layer_2_inc_1_material,layer_2_inc_1_shape,layer_2_inc_1_fraction,layer_2_inc_2_material,layer_2_inc_2_shape,layer_2_inc_2_fraction,layer_2_matrix_fraction
49,465.75931846007023,0.11825726141078838,0.10960465260901303,0.0025294688376343156,Cu,32.82496100664139,sphere,1.0,Cu,0.0,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
49,466.18746053451,0.11815616180620885,0.10972551955730081,0.0025294688376343156,Cu,32.82496100664139,sphere,1.0,Cu,0.0,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
49,466.6155918821946,0.11759207328472612,0.10972525131560885,0.0025294688376343156,Cu,32.82496100664139,sphere,1.0,Cu,0.0,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
49,467.0437125031241,0.11796296296296296,0.10972493956050897,0.0025294688376343156,Cu,32.82496100664139,sphere,1.0,Cu,0.0,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
49,467.47182239729835,0.11917382562602814,0.10972535670744499,0.0025294688376343156,Cu,32.82496100664139,sphere,1.0,Cu,0.0,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
49,467.8999215647174,0.11872394417255755,0.10972567649102387,0.0025294688376343156,Cu,32.82496100664139,sphere,1.0,Cu,0.0,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
49,468.32801000538126,0.11761537080265756,0.10972620597193596,0.0025294688376343156,Cu,32.82496100664139,sphere,1.0,Cu,0.0,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
49,468.75608771928995,0.11916636978981118,0.10972677574245311,0.0025294688376343156,Cu,32.82496100664139,sphere,1.0,Cu,0.0,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
49,469.1841547064435,0.11918656056587092,0.1097272513535236,0.0025294688376343156,Cu,32.82496100664139,sphere,1.0,Cu,0.0,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
49,469.6122109668418,0.11844420978528687,0.10972763678765471,0.0025294688376343156,Cu,32.82496100664139,sphere,1.0,Cu,0.0,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
