spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_matrix_fraction,layer_2_matrix,layer_2_thickness_nm,layer_2_matrix_shape,layer_2_matrix_fraction,layer_3_matrix,layer_3_thickness_nm,layer_3_matrix_shape,layer_3_matrix_fraction
49,465.75931846007023,0.05912863070539419,0.05519331281345309,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,466.18746053451,0.05907808090310442,0.055276609467054184,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,466.6155918821946,0.05879603664236306,0.055281504025871016,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,467.0437125031241,0.05898148148148148,0.055286374493622954,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,467.47182239729835,0.05958691281301407,0.05529188819975798,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,467.8999215647174,0.059361972086278775,0.05529733154164733,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,468.32801000538126,0.05880768540132878,0.05530306481228755,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,468.75608771928995,0.05958318489490559,0.05530888897769663,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,469.1841547064435,0.05959328028293546,0.05531473394075292,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,469.6122109668418,0.059222104892643436,0.055320701741745436,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,470.040256500485,0.05982532751091703,0.05532659872259844,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,470.4682913073729,0.060478320715760495,0.05533149608113983,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,470.8963153875057,0.05992541108662485,0.055336275977247225,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,471.3243287408833,0.05952779638312123,0.055340201770985115,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,471.7523313675057,0.05950605005801426,0.05534349415289978,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,472.18032326737296,0.058650065530799475,0.05534666491281045,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,472.60830444048497,0.058379343942838585,0.05534956710710331,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,473.03627488684185,0.05814516129032258,0.05535240217623227,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,473.46423460644354,0.05856,0.05535587420389516,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,473.89218359929004,0.05828707375099128,0.055359411015147214,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,474.32012186538134,0.058218101822752985,0.055363789345381005,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,474.74804940471745,0.05777327303913925,0.05536911505192894,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,475.1759662172984,0.0578735898624633,0.0553746802413002,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,475.60387230312415,0.05767171485390852,0.05538287872066489,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,476.03176766219474,0.05745035622252539,0.05539100527275839,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,476.45965229451014,0.057162121666167215,0.05540206136182211,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,476.88752620007034,0.05744047619047619,0.05541413777473041,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,477.31538937887535,0.0579538734476641,0.05542801953168127,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,477.74324183092523,0.0576164743683365,0.0554451235067028,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,478.17108355621986,0.05734275822273514,0.05546214919922084,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,478.59891455475935,0.05785479020478305,0.05548531623298745,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,479.02673482654365,0.057629524485450674,0.05550844388170556,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,479.45454437157275,0.057421984818667414,0.05553607103048008,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,479.88234318984667,0.05757956448911223,0.055566379567648726,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,480.31013128136544,0.057884508606329814,0.05559843463233977,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,480.737908646129,0.05736690053652497,0.055635780596667975,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,481.16567528413736,0.0574061433447099,0.05567304419591113,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,481.59343119539056,0.057094594594594594,0.05571541323194483,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,482.0211763798886,0.05740889603429796,0.05575838087745223,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,482.4489108376314,0.05757495356858583,0.055803922900429744,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,482.876634568619,0.05753316695126757,0.05585189081885868,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,483.30434757285144,0.05797290255341324,0.055900426456378764,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,483.73204985032874,0.057712215320910976,0.055952691591708965,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,484.15974140105084,0.05751701116959815,0.05600488300154916,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,484.58742222501775,0.05720285059811657,0.05605990132892999,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,485.01509232222946,0.057568081063964535,0.056115689839920664,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,485.442751692686,0.057155432595573444,0.0561726373024445,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,485.8704003363873,0.057390329012961115,0.05623131826458633,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,486.2980382533335,0.056937739819284565,0.05629001477707092,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,486.7256654435245,0.056874077717658636,0.056350881765805355,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,487.15328190696033,0.056965113442303,0.05641168331712512,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,487.58088764364095,0.05696125907990315,0.05647349030603126,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,488.0084826535664,0.05660264105642257,0.056535770148623946,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,488.4360669367366,0.05676126878130217,0.056598250653206734,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,488.8636404931517,0.056378064668956535,0.05666129570928898,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,489.29120332281155,0.05589514517456212,0.05672427768874421,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,489.71875542571627,0.05592527729130181,0.056787359053513405,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,490.1462968018658,0.05624709167054444,0.05685038982012412,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,490.5738274512601,0.056223970384081445,0.05691244554485617,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,491.0013473738993,0.05666129774505292,0.056973711452106134,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,491.42885656978325,0.057270744863996324,0.05703454666007338,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,491.85635503891206,0.05723886547442761,0.057093730282031206,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,492.2838427812856,0.05744849445324881,0.057152846876933235,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,492.71131979690404,0.05815650611878298,0.05721155358089627,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,493.13878608576726,0.05868544600938967,0.057270116596655665,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,493.56624164787536,0.058377600708278,0.05732911211599505,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,493.9936864832282,0.05851762645062404,0.057388656689726966,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,494.4211205918259,0.05768605784855379,0.05744834305624527,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,494.84854397366837,0.05722599418040737,0.057510409329556124,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,495.2759566287557,0.05734556705430492,0.05757241243953139,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,495.7033585570878,0.05765143464399575,0.057637324577593595,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,496.13074975866476,0.058214816387178944,0.057703399499631436,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,496.55813023348657,0.05868371012043102,0.05777136074736697,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,496.9854999815531,0.0588792921845376,0.0578430625793917,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,497.41285900286454,0.0584939254294093,0.057914712528377425,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,497.84020729742076,0.058144372789681716,0.057993380456594135,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,498.2675448652218,0.057591082671070284,0.058072231445857984,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,498.69487170626763,0.0576171875,0.058156347993918604,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,499.1221878205583,0.057480635955972276,0.05824398001568363,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,499.54949320809374,0.05765135381807119,0.058333978995317726,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,499.97678786887406,0.0578316891483793,0.058431987787336714,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,500.4040718028992,0.0579695634761714,0.05852998968698783,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,500.8313450101691,0.05765980713788647,0.058634499790202695,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,501.25860749068386,0.05792230898487694,0.05874007939375388,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,501.6858592444434,0.05791335101679929,0.05884748068708848,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,502.11310027144776,0.05776931340951265,0.058956782096534946,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,502.540330571697,0.05788655788655789,0.05906655569505723,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,502.967550145191,0.05867297662739038,0.05917963999068009,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,503.3947589919298,0.05852698290762435,0.05929275643624576,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,503.82195711191343,0.05824270177447052,0.05940874510075727,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,504.24914450514194,0.05900857959961869,0.05952571732791176,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,504.6763211716152,0.05942194333523484,0.059644191165628115,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,505.10348711133327,0.05921052631578947,0.059765082304390864,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,505.5306423242962,0.059266227657572904,0.059886073473505955,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,505.95778681050393,0.05996804210922079,0.060010947381266756,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,506.3849205699565,0.05971122496506753,0.06013588839627834,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,506.81204360265383,0.05994638565354039,0.06026341020229666,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,507.239155908596,0.060355138467200295,0.060392411359432886,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,507.666257487783,0.06085481060258644,0.06052256976068358,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,508.0933483402148,0.0609589664270767,0.060655697072685005,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,508.5204284658914,0.060955742601140374,0.0607889168243378,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,508.9474978648129,0.06023176428314768,0.06092584699893411,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,509.3745565369791,0.059889325240985364,0.06106327324186243,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,509.8016044823902,0.0595956012770486,0.06120296449666124,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,510.2286417010461,0.05973842347119123,0.0613446651023145,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,510.6556681929468,0.05933620917334272,0.061486888008355445,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,511.08268395809233,0.059634639030388195,0.06163130121403601,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,511.5096889964827,0.059672762271414825,0.06177584296115954,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,511.93668330811784,0.06016182356011832,0.0619214389802938,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,512.3636668929978,0.059656392989726324,0.062067409319037585,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,512.7906397511226,0.05990052311122545,0.0622142084149856,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,513.2176018824922,0.060209201462709416,0.06236209141634179,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,513.6445532871066,0.06039871599932421,0.06251022969274736,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,514.0714939649658,0.06030129607810133,0.06266051645320683,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,514.4984239160699,0.06052235057759919,0.06281095335924725,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,514.9253431404188,0.06084061589679567,0.06296332254241759,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,515.3522516380125,0.06079342684040169,0.06311667312938402,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,515.7791494088509,0.06099975253650087,0.06327115773067771,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,516.2060364529343,0.06096563011456629,0.06342793057352808,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,516.6329127702625,0.06054465877775977,0.06358487887205623,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,517.0597783608354,0.06068293468631714,0.06374539413867442,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,517.4866332246531,0.06058423369347739,0.06390629772191568,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,517.9134773617158,0.060491568565065226,0.0640697436648066,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,518.3403107720231,0.06067922735908803,0.06423513103971687,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
49,518.7671334555754,0.061607635875995895,0.06440167249232957,0.005006350361286822,Cu,43.55511274933815,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.5426589334383607,sphere,1.0
