spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_inc_1_material,layer_1_inc_1_shape,layer_1_inc_1_fraction,layer_1_matrix_fraction,layer_2_matrix,layer_2_thickness_nm,layer_2_matrix_shape,layer_2_inc_1_material,layer_2_inc_1_shape,layer_2_inc_1_fraction,layer_2_matrix_fraction,layer_3_matrix,layer_3_thickness_nm,layer_3_matrix_shape,layer_3_matrix_fraction
36,465.75931846007023,0.09211155378486056,0.022961744411424845,0.016632982114363374,Cu,35.57493969798088,sphere,Cu2O,sphere,0.0,1.0,Cu2O,92.23155361413956,sphere,CuO,sphere,0.0,1.0,CuO,7.481204926967621,sphere,1.0
36,466.18746053451,0.09111111111111113,0.02309838613296473,0.016632982114363374,Cu,35.57493969798088,sphere,Cu2O,sphere,0.0,1.0,Cu2O,92.23155361413956,sphere,CuO,sphere,0.0,1.0,CuO,7.481204926967621,sphere,1.0
36,466.6155918821946,0.09123595505617979,0.0233008047312128,0.016632982114363374,Cu,35.57493969798088,sphere,Cu2O,sphere,0.0,1.0,Cu2O,92.23155361413956,sphere,CuO,sphere,0.0,1.0,CuO,7.481204926967621,sphere,1.0
36,467.0437125031241,0.09111969111969113,0.023504782911826592,0.016632982114363374,Cu,35.57493969798088,sphere,Cu2O,sphere,0.0,1.0,Cu2O,92.23155361413956,sphere,CuO,sphere,0.0,1.0,CuO,7.481204926967621,sphere,1.0
36,467.47182239729835,0.0915472936030618,0.02370943452901274,0.016632982114363374,Cu,35.57493969798088,sphere,Cu2O,sphere,0.0,1.0,Cu2O,92.23155361413956,sphere,CuO,sphere,0.0,1.0,CuO,7.481204926967621,sphere,1.0
36,467.8999215647174,0.09161430119176599,0.02391570896934436,0.016632982114363374,Cu,35.57493969798088,sphere,Cu2O,sphere,0.0,1.0,Cu2O,92.23155361413956,sphere,CuO,sphere,0.0,1.0,CuO,7.481204926967621,sphere,1.0
36,468.32801000538126,0.09313240043057051,0.024122851988384073,0.016632982114363374,Cu,35.57493969798088,sphere,Cu2O,sphere,0.0,1.0,Cu2O,92.23155361413956,sphere,CuO,sphere,0.0,1.0,CuO,7.481204926967621,sphere,1.0
36,468.75608771928995,0.09170111287758348,0.024331278282417296,0.016632982114363374,Cu,35.57493969798088,sphere,Cu2O,sphere,0.0,1.0,Cu2O,92.23155361413956,sphere,CuO,sphere,0.0,1.0,CuO,7.481204926967621,sphere,1.0
36,469.1841547064435,0.0911764705882353,0.024540953580326083,0.016632982114363374,Cu,35.57493969798088,sphere,Cu2O,sphere,0.0,1.0,Cu2O,92.23155361413956,sphere,CuO,sphere,0.0,1.0,CuO,7.481204926967621,sphere,1.0
36,469.6122109668418,0.0907327141382869,0.02475144084872789,0.016632982114363374,Cu,35.57493969798088,sphere,Cu2O,sphere,0.0,1.0,Cu2O,92.23155361413956,sphere,CuO,sphere,0.0,1.0,CuO,7.481204926967621,sphere,1.0
36,470.040256500485,0.09051662404092072,0.02496356136265479,0.016632982114363374,Cu,35.57493969798088,sphere,Cu2O,sphere,0.0,1.0,Cu2O,92.23155361413956,sphere,CuO,sphere,0.0,1.0,CuO,7.481204926967621,sphere,1.0
36,470.4682913073729,0.09101772151898735,0.025175818192413088,0.016632982114363374,Cu,35.57493969798088,sphere,Cu2O,sphere,0.0,1.0,Cu2O,92.23155361413956,sphere,CuO,sphere,0.0,1.0,CuO,7.481204926967621,sphere,1.0
36,470.8963153875057,0.09072000000000001,0.02538962400928114,0.016632982114363374,Cu,35.57493969798088,sphere,Cu2O,sphere,0.0,1.0,Cu2O,92.23155361413956,sphere,CuO,sphere,0.0,1.0,CuO,7.481204926967621,sphere,1.0
36,471.3243287408833,0.08941176470588236,0.025604082186597384,0.016632982114363374,Cu,35.57493969798088,sphere,Cu2O,sphere,0.0,1.0,Cu2O,92.23155361413956,sphere,CuO,sphere,0.0,1.0,CuO,7.481204926967621,sphere,1.0
