spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_inc_1_material,layer_1_inc_1_shape,layer_1_inc_1_fraction,layer_1_inc_2_material,layer_1_inc_2_shape,layer_1_inc_2_fraction,layer_1_matrix_fraction
36,465.75931846007023,0.09211155378486056,0.06740387616490139,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,466.18746053451,0.09111111111111113,0.06749692365394205,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,466.6155918821946,0.09123595505617979,0.0674994721990984,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,467.0437125031241,0.09111969111969113,0.06750199586101155,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,467.47182239729835,0.0915472936030618,0.06750522208325016,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,467.8999215647174,0.09161430119176599,0.06750837286666511,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,468.32801000538126,0.09313240043057051,0.06751182492819696,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,468.75608771928995,0.09170111287758348,0.06751537014825076,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,469.1841547064435,0.0911764705882353,0.06751892434593354,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,469.6122109668418,0.0907327141382869,0.06752258210251827,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,470.040256500485,0.09051662404092072,0.06752616392082283,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,470.4682913073729,0.09101772151898735,0.06752856869575347,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,470.8963153875057,0.09072000000000001,0.0675308423413209,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,471.3243287408833,0.08941176470588236,0.06753213864380708,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,471.7523313675057,0.08965517241379312,0.06753271172477249,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,472.18032326737296,0.08873720136518772,0.06753314989988739,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,472.60830444048497,0.0876263842079923,0.06753328211812532,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,473.03627488684185,0.08699287410926368,0.06753334288668489,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,473.46423460644354,0.08706994328922497,0.06753413661072608,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,473.89218359929004,0.08607359105728925,0.067535009542171,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,474.32012186538134,0.08639260969976906,0.06753685156659309,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,474.74804940471745,0.08508924485125859,0.06753978378230738,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,475.1759662172984,0.08578181818181818,0.06754299562914455,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,475.60387230312415,0.08495511669658887,0.06754923025602949,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,476.03176766219474,0.08355239786856128,0.06755538728044194,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,476.45965229451014,0.0834250764525994,0.06756490708585777,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,476.88752620007034,0.0833477135461605,0.06757560089631945,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,477.31538937887535,0.0826973965002134,0.06758836861974743,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,477.74324183092523,0.08344449134655973,0.06760483408552635,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,478.17108355621986,0.08398826979472142,0.06762121361297703,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,478.59891455475935,0.08370772442588727,0.06764463662048077,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,479.02673482654365,0.08269847799259565,0.06766801747953485,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,479.45454437157275,0.08195678760701183,0.06769655879735424,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,479.88234318984667,0.08035369774919615,0.06772817566264072,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,480.31013128136544,0.07955431754874652,0.06776180967759991,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,480.737908646129,0.08022038567493114,0.06780154832092379,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,481.16567528413736,0.08072072072072073,0.06784119341560964,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,481.59343119539056,0.08174386920980928,0.06788677463130423,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,482.0211763798886,0.08276183087664858,0.06793305284711754,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,482.4489108376314,0.08317901234567901,0.06798232266230325,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,482.876634568619,0.08140404425791682,0.06803441089364733,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,483.30434757285144,0.08130401819560275,0.06808715831495395,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,483.73204985032874,0.08093093093093094,0.06814423459704748,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,484.15974140105084,0.08080327259204166,0.06820122470294442,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,484.58742222501775,0.08123711340206187,0.06826149223448542,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,485.01509232222946,0.08152158010241406,0.06832265157436672,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,485.442751692686,0.08101265822784812,0.06838515168050542,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,485.8704003363873,0.08083094555873925,0.0684496574062057,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,486.2980382533335,0.07940446650124071,0.06851417899309702,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,486.7256654435245,0.07915819010873379,0.06858120670686604,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,487.15328190696033,0.07858284126432791,0.06864815624406505,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,487.58088764364095,0.07892227979274612,0.06871626055181979,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,488.0084826535664,0.07901369863013699,0.06878490628507677,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,488.4360669367366,0.07940156409384563,0.06885377705152557,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,488.8636404931517,0.08051665533650577,0.06892328793952592,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,489.29120332281155,0.08026854649211144,0.06899272296902084,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,489.71875542571627,0.08125416944629754,0.06906225167091498,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,490.1462968018658,0.08162018592297478,0.06913171744814556,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,490.5738274512601,0.08266842800528403,0.06920006128826371,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,491.0013473738993,0.08130505709624797,0.0692674959024905,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,491.42885656978325,0.08184057031756319,0.06933443798523817,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,491.85635503891206,0.07982102908277405,0.06939950280647325,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,492.2838427812856,0.07914005690799873,0.06946448806180439,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,492.71131979690404,0.07827013475399562,0.06952901820438903,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,493.13878608576726,0.0783095090118086,0.06959338499452833,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,493.56624164787536,0.07933044017358959,0.06965825340769037,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
36,493.9936864832282,0.08007444168734493,0.0697237587592733,0.006781476059273942,Cu,40.396146669983864,sphere,Cu2O,sphere,0.0,CuO,sphere,0.0,1.0
