spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_matrix_fraction,layer_2_matrix,layer_2_thickness_nm,layer_2_matrix_shape,layer_2_inc_1_material,layer_2_inc_1_shape,layer_2_inc_1_fraction,layer_2_inc_2_material,layer_2_inc_2_shape,layer_2_inc_2_fraction,layer_2_matrix_fraction
36,465.75931846007023,0.09211155378486056,0.06694019978459095,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,466.18746053451,0.09111111111111113,0.06703288071740812,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,466.6155918821946,0.09123595505617979,0.06703546154461333,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,467.0437125031241,0.09111969111969113,0.06703801768141267,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,467.47182239729835,0.0915472936030618,0.06704127511486434,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,467.8999215647174,0.09161430119176599,0.06704445740552271,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,468.32801000538126,0.09313240043057051,0.06704794132335215,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,468.75608771928995,0.09170111287758348,0.06705151871848657,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,469.1841547064435,0.0911764705882353,0.06705510596897231,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,469.6122109668418,0.0907327141382869,0.06705879830545997,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,470.040256500485,0.09051662404092072,0.067062414996613,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,470.4682913073729,0.09101772151898735,0.06706486180354124,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,470.8963153875057,0.09072000000000001,0.0670671781171093,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,471.3243287408833,0.08941176470588236,0.0670685217915982,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,471.7523313675057,0.08965517241379312,0.0670691457030794,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,472.18032326737296,0.08873720136518772,0.06706963536352757,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,472.60830444048497,0.0876263842079923,0.06706982076361089,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,473.03627488684185,0.08699287410926368,0.06706993498284437,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,473.46423460644354,0.08706994328922497,0.06707077908948063,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,473.89218359929004,0.08607359105728925,0.06707170204623164,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,474.32012186538134,0.08639260969976906,0.06707358977679671,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,474.74804940471745,0.08508924485125859,0.0670765628466561,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,475.1759662172984,0.08578181818181818,0.06707981424402981,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,475.60387230312415,0.08495511669658887,0.06708607482313253,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,476.03176766219474,0.08355239786856128,0.06709225810207897,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,476.45965229451014,0.0834250764525994,0.06710178892899557,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,476.88752620007034,0.0833477135461605,0.06711248841445097,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,477.31538937887535,0.0826973965002134,0.06712525236578296,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,477.74324183092523,0.08344449134655973,0.06714169725348673,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,478.17108355621986,0.08398826979472142,0.06715805655500963,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,478.59891455475935,0.08370772442588727,0.06718142729195338,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,479.02673482654365,0.08269847799259565,0.0672047560453028,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,479.45454437157275,0.08195678760701183,0.06723322174588083,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,479.88234318984667,0.08035369774919615,0.06726474898869493,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,480.31013128136544,0.07955431754874652,0.06729828359541651,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,480.737908646129,0.08022038567493114,0.0673378933080287,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,481.16567528413736,0.08072072072072073,0.0673774099095727,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,481.59343119539056,0.08174386920980928,0.06742283192813144,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,482.0211763798886,0.08276183087664858,0.06746894732085124,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,482.4489108376314,0.08317901234567901,0.06751803893140662,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
36,482.876634568619,0.08140404425791682,0.06756993448149566,0.006783476662195176,Cu,40.503348499536514,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,CuO,sphere,0.0,1.0
