spectrum,wavelength_nm,T_exp,T_fit,RMSE,material_1_name,material_1_thickness_nm,material_1_shape,material_1_volume_fraction,inclusion_1_name,inclusion_1_shape,inclusion_1_volume_fraction,material_2_name,material_2_thickness_nm,material_2_shape,material_2_volume_fraction,inclusion_2_name,inclusion_2_shape,inclusion_2_volume_fraction,material_3_name,material_3_thickness_nm,material_3_shape,material_3_volume_fraction,inclusion_3_name,inclusion_3_shape,inclusion_3_volume_fraction
77,500.4040718028992,0.21267489711934157,0.204107925710777,0.004206589545432165,Cu,23.640011921525,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,,,,CuO,1.0540835390090941,sphere,1.0,,,
77,500.8313450101691,0.21321614583333334,0.2043298108638113,0.004206589545432165,Cu,23.640011921525,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,,,,CuO,1.0540835390090941,sphere,1.0,,,
77,501.25860749068386,0.2140328290955906,0.20455726187236387,0.004206589545432165,Cu,23.640011921525,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,,,,CuO,1.0540835390090941,sphere,1.0,,,
77,501.6858592444434,0.21702331523474927,0.20478863054176483,0.004206589545432165,Cu,23.640011921525,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,,,,CuO,1.0540835390090941,sphere,1.0,,,
77,502.11310027144776,0.21596096332441367,0.20502196666592357,0.004206589545432165,Cu,23.640011921525,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,,,,CuO,1.0540835390090941,sphere,1.0,,,
77,502.540330571697,0.21360734859100108,0.20526271237085705,0.004206589545432165,Cu,23.640011921525,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,,,,CuO,1.0540835390090941,sphere,1.0,,,
77,502.967550145191,0.21235402581438229,0.20550340424284086,0.004206589545432165,Cu,23.640011921525,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,,,,CuO,1.0540835390090941,sphere,1.0,,,
77,503.3947589919298,0.2119235436893204,0.20575194346570044,0.004206589545432165,Cu,23.640011921525,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,,,,CuO,1.0540835390090941,sphere,1.0,,,
77,503.82195711191343,0.20986547085201793,0.2060019260571874,0.004206589545432165,Cu,23.640011921525,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,,,,CuO,1.0540835390090941,sphere,1.0,,,
77,504.24914450514194,0.2112676056338028,0.20625621599986535,0.004206589545432165,Cu,23.640011921525,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,,,,CuO,1.0540835390090941,sphere,1.0,,,
77,504.6763211716152,0.21333333333333335,0.20651538189868232,0.004206589545432165,Cu,23.640011921525,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,,,,CuO,1.0540835390090941,sphere,1.0,,,
77,505.10348711133327,0.21595698299665747,0.206775417964856,0.004206589545432165,Cu,23.640011921525,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,,,,CuO,1.0540835390090941,sphere,1.0,,,
77,505.5306423242962,0.2165348670021567,0.20704365992847215,0.004206589545432165,Cu,23.640011921525,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,,,,CuO,1.0540835390090941,sphere,1.0,,,
77,505.95778681050393,0.2161662160239078,0.20731189714306994,0.004206589545432165,Cu,23.640011921525,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,,,,CuO,1.0540835390090941,sphere,1.0,,,
77,506.3849205699565,0.2147481001970166,0.207586647730073,0.004206589545432165,Cu,23.640011921525,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,,,,CuO,1.0540835390090941,sphere,1.0,,,
77,506.81204360265383,0.21538889661889524,0.20786387002800538,0.004206589545432165,Cu,23.640011921525,sphere,1.0,,,,Cu2O,0.001,sphere,1.0,,,,CuO,1.0540835390090941,sphere,1.0,,,
