sampCu9		
Wavelength (nm)	%T	
800	9.830619812	
799	7.003655434	
798	10.20752335	
797	8.652767181	
796	10.632864	
795	7.307747841	
794	10.43329239	
793	6.037561417	
792	6.042937756	
791	6.952232838	
790	5.550708771	
789	8.195220947	
788	9.769219398	
787	11.74773693	
786	9.894478798	
785	9.144001007	
784	7.992516518	
783	8.727334023	
782	8.824760437	
781	8.046427727	
780	7.977499962	
779	8.377383232	
778	8.631150246	
777	7.583929539	
776	7.451473236	
775	8.692019463	
774	5.279191017	
773	8.129179001	
772	5.788017273	
771	5.373953819	
770	7.18473959	
769	8.258172035	
768	7.038590431	
767	6.275162697	
766	6.27438879	
765	6.871590137	
764	5.453848362	
763	7.271704674	
762	6.047826767	
761	6.64191103	
760	5.375343323	
759	5.3898139	
758	7.10009861	
757	3.636063337	
756	6.113465786	
755	5.485752583	
754	6.010102272	
753	4.974374294	
752	6.463080406	
751	5.452759743	
750	5.205196857	
749	5.967934608	
748	5.472205639	
747	5.068505764	
746	5.849730968	
745	4.653105736	
744	5.147624493	
743	5.872806549	
742	5.113974094	
741	5.18521452	
740	4.826083183	
739	4.484153748	
738	5.977170944	
737	5.405587196	
736	4.925429821	
735	5.465092182	
734	6.367210865	
733	4.660571098	
732	4.759850502	
731	4.753293037	
730	5.222159386	
729	4.814544201	
728	4.980265141	
727	5.823506355	
726	4.681312084	
725	4.760127544	
724	4.090904236	
723	5.502804279	
722	4.900025845	
721	5.485017776	
720	4.831801891	
719	4.861579895	
718	4.627388	
717	4.678794861	
716	5.024543285	
715	5.215210438	
714	5.279124737	
713	4.874272823	
712	4.725261211	
711	5.052316189	
710	4.994113445	
709	4.912494183	
708	4.901896	
707	4.793314934	
706	5.243690014	
705	5.095597267	
704	4.46598196	
703	5.033367634	
702	4.690933228	
701	5.083370686	
700	5.01530838	
699	5.179925442	
698	5.050956249	
697	5.018064976	
696	4.849561214	
695	5.023916245	
694	5.020468712	
693	5.130311489	
692	5.290674686	
691	4.92302084	
690	4.961876869	
689	5.002299309	
688	5.289068222	
687	5.25415659	
686	5.048162937	
685	5.214591026	
684	5.098537922	
683	5.110787392	
682	5.069004059	
681	5.139801979	
680	5.135409355	
679	5.263563156	
678	5.173220634	
677	5.248228073	
676	5.420113087	
675	5.505417824	
674	5.217999458	
673	5.417847157	
672	5.251545906	
671	5.354294777	
670	5.590059757	
669	5.533942223	
668	5.755833149	
667	5.631067753	
666	5.666707516	
665	5.592614651	
664	5.726828098	
663	5.818348885	
662	5.868399143	
661	5.875593662	
660	5.803994179	
659	5.875885963	
658	5.928216934	
657	6.020631313	
656	6.049230099	
655	6.201985359	
654	6.091068268	
653	6.225682735	
652	6.174774647	
651	6.364824772	
650	6.297384262	
649	6.313688278	
648	6.491466045	
647	6.452528477	
646	6.532895565	
645	6.664637566	
644	6.739747524	
643	6.820163727	
642	6.722047329	
641	6.818089008	
640	7.042560577	
639	7.018648624	
638	7.073450089	
637	7.101292133	
636	7.117939949	
635	7.255538464	
