spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_matrix_fraction,layer_2_matrix,layer_2_thickness_nm,layer_2_matrix_shape,layer_2_matrix_fraction,layer_3_matrix,layer_3_thickness_nm,layer_3_matrix_shape,layer_3_matrix_fraction
28,465.75931846007023,0.11279131827077032,0.10575287199661834,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,466.18746053451,0.11268103143765454,0.10587593035363144,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,466.6155918821946,0.11257463997190024,0.105889117302993,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,467.0437125031241,0.11195972921367818,0.10590221328725388,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,467.47182239729835,0.11179592535524739,0.1059158143874278,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,467.8999215647174,0.11114882063465129,0.10592928343518496,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,468.32801000538126,0.11096189357058922,0.10594278916372832,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,468.75608771928995,0.11079967023907666,0.10595623884711752,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,469.1841547064435,0.11017087062652563,0.10596949601984747,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,469.6122109668418,0.11001615508885298,0.10598249277723708,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,470.040256500485,0.10918626827717737,0.10599535867057866,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,470.4682913073729,0.10876038238520608,0.10600624502734222,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,470.8963153875057,0.10806602304578013,0.10601690761126646,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,471.3243287408833,0.10920605498918752,0.10602611116326494,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,471.7523313675057,0.10883424408014572,0.10603422981314452,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,472.18032326737296,0.10930930930930931,0.10604209390969159,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,472.60830444048497,0.10932857991681522,0.10604935287881673,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,473.03627488684185,0.11042493750918983,0.10605648717332566,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,473.46423460644354,0.110318730897977,0.10606439510558713,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,473.89218359929004,0.11059841384282625,0.10607234747605887,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,474.32012186538134,0.11003420752565564,0.10608146894532404,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,474.74804940471745,0.11032631727645148,0.10609191066303163,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,475.1759662172984,0.10998190171237644,0.10610267840127173,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,475.60387230312415,0.11071231363887354,0.10611727795299462,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,476.03176766219474,0.1108215608284186,0.10613174824610859,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,476.45965229451014,0.1118063112078346,0.10615054319466541,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,476.88752620007034,0.11145469212153805,0.10617083097766812,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,477.31538937887535,0.11139308134099105,0.10619379746999473,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,477.74324183092523,0.11061186731862033,0.10622156232264991,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,478.17108355621986,0.11035742238455518,0.10624919094330028,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,478.59891455475935,0.10951827457057987,0.10628602891648632,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,479.02673482654365,0.10974042662554613,0.10632279019598284,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,479.45454437157275,0.10981040844891207,0.1063663183378952,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,479.88234318984667,0.10865469162165557,0.10641387203978993,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,480.31013128136544,0.10811821922933033,0.10646413738796633,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,480.737908646129,0.1082716049382716,0.10652264092523148,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,481.16567528413736,0.10844259281950741,0.10658100383017921,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,481.59343119539056,0.10772407092543114,0.10664761408738954,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,482.0211763798886,0.10809186004568955,0.10671518419553518,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,482.4489108376314,0.10787241667662167,0.10678688442755599,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,482.876634568619,0.10870856599738624,0.10686247531308507,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,483.30434757285144,0.10825043885313049,0.10693896175944309,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,483.73204985032874,0.10953653153676385,0.10702138759554823,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,484.15974140105084,0.10930098209127671,0.10710368491903549,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,484.58742222501775,0.11027138440398489,0.10719043244490094,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,485.01509232222946,0.11039108685766258,0.10727838283963172,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,485.442751692686,0.11014065335753176,0.10736811990797333,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,485.8704003363873,0.10952273750562809,0.1074605350855457,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,486.2980382533335,0.1108873223676849,0.10755295635394173,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,486.7256654435245,0.11069042316258351,0.1076486457831381,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
28,487.15328190696033,0.10998233215547704,0.10774421801582353,0.002225357951408339,Cu,33.890916258096695,sphere,1.0,Cu2O,1.19689660705626,sphere,1.0,CuO,0.0,sphere,1.0
