spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_matrix_fraction,layer_2_matrix,layer_2_thickness_nm,layer_2_matrix_shape,layer_2_matrix_fraction,layer_3_matrix,layer_3_thickness_nm,layer_3_matrix_shape,layer_3_matrix_fraction
32,465.75931846007023,0.09251022949653087,0.08670357335862013,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,466.18746053451,0.09184033910279055,0.08681136655975005,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,466.6155918821946,0.09216719353705655,0.0868152929483801,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,467.0437125031241,0.09109529595556327,0.086819179022448,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,467.47182239729835,0.08998459167950694,0.0868237685782647,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,467.8999215647174,0.08891905650772103,0.08682826610577024,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,468.32801000538126,0.08957528957528958,0.0868330105193855,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,468.75608771928995,0.0881121187139324,0.0868378146741822,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,469.1841547064435,0.08839707078925957,0.08684257013508037,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,469.6122109668418,0.08865912762520195,0.08684732550274835,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,470.040256500485,0.08938334392879849,0.08685198865598488,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,470.4682913073729,0.08813665569659929,0.08685516032372086,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,470.8963153875057,0.08881968234194955,0.08685816958725545,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,471.3243287408833,0.08909484090206982,0.08686000899797039,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,471.7523313675057,0.08888888888888889,0.08686098231503625,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,472.18032326737296,0.08828828828828829,0.0868617872022938,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,472.60830444048497,0.08877005347593583,0.08686220401289736,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,473.03627488684185,0.08904572856932805,0.08686253380515141,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,473.46423460644354,0.08930286712268957,0.08686369405437785,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,473.89218359929004,0.08940158615717375,0.0868649392914753,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,474.32012186538134,0.08905359179019384,0.08686730462538995,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,474.74804940471745,0.08905212600649809,0.0868709306169392,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,475.1759662172984,0.088208269525268,0.0868748790721041,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,475.60387230312415,0.08801766979569299,0.08688234710145966,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,476.03176766219474,0.08887669729803868,0.08688972135894973,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,476.45965229451014,0.0895538628944505,0.08690102044283197,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,476.88752620007034,0.08894864210809358,0.08691368800813132,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,477.31538937887535,0.08900761319620676,0.08692877831634853,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,477.74324183092523,0.08796088278049426,0.08694819079820247,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,478.17108355621986,0.08776415340464389,0.08696750024567566,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,478.59891455475935,0.0872013431486504,0.08699505181091712,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,479.02673482654365,0.08840914931894116,0.08702255175777698,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,479.45454437157275,0.0885608856088561,0.0870560932912585,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,479.88234318984667,0.08873257128501445,0.08709323438757427,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
32,480.31013128136544,0.08848983663798479,0.08713276875255209,0.002357177027125098,Cu,36.52702781558037,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.6156243307050318,sphere,1.0
