spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_inc_1_material,layer_1_inc_1_shape,layer_1_inc_1_fraction,layer_1_inc_2_material,layer_1_inc_2_shape,layer_1_inc_2_fraction,layer_1_inc_3_material,layer_1_inc_3_shape,layer_1_inc_3_fraction,layer_1_matrix_fraction
32,465.75931846007023,0.11563778687066359,0.11265051063645468,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,466.18746053451,0.11480042387848817,0.1127787442009651,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,466.6155918821946,0.11520899192132068,0.11279614880640729,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,467.0437125031241,0.11386911994445409,0.1128135631592495,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,467.47182239729835,0.11248073959938366,0.11283168559149263,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,467.8999215647174,0.11114882063465129,0.11284976742664232,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,468.32801000538126,0.11196911196911197,0.11286807024880352,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,468.75608771928995,0.1101401483924155,0.11288644856569947,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,469.1841547064435,0.11049633848657445,0.11290477314476324,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,469.6122109668418,0.11082390953150242,0.11292302935339339,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,470.040256500485,0.1117291799109981,0.11294124092732567,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,470.4682913073729,0.1101708196207491,0.11295776408197646,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,470.8963153875057,0.11102460292743693,0.11297415894717154,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,471.3243287408833,0.11136855112758727,0.11298931238693635,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,471.7523313675057,0.1111111111111111,0.11300356136329824,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,472.18032326737296,0.11036036036036036,0.11301767701070098,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,472.60830444048497,0.11096256684491979,0.11303140647766784,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,473.03627488684185,0.11130716071166005,0.11304509490716837,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,473.46423460644354,0.11162858390336196,0.1130597360418149,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,473.89218359929004,0.11175198269646719,0.11307452186594673,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,474.32012186538134,0.1113169897377423,0.11309058472186745,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,474.74804940471745,0.11131515750812261,0.1131080780760254,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,475.1759662172984,0.11026033690658499,0.1131259775945598,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,475.60387230312415,0.11002208724461623,0.1131477810996956,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,476.03176766219474,0.11109587162254835,0.11316953552846692,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,476.45965229451014,0.11194232861806311,0.11319564282220321,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,476.88752620007034,0.11118580263511697,0.11322330029954576,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,477.31538937887535,0.11125951649525845,0.11325366608727115,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
32,477.74324183092523,0.10995110347561782,0.11328881990532341,0.012730632610533671,Cu,32.62286853790283,sphere,Cu2O,sphere,0.020305883139371872,CuO,sphere,0.0,Vacuum,sphere,0.0,0.9796941168606281
