spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_matrix_fraction,layer_2_matrix,layer_2_thickness_nm,layer_2_matrix_shape,layer_2_matrix_fraction,layer_3_matrix,layer_3_thickness_nm,layer_3_matrix_shape,layer_3_matrix_fraction
31,465.75931846007023,0.07153055894131988,0.06883550848973327,0.0034261245935277456,Cu,40.08226989209652,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.12739212810993195,sphere,1.0
31,466.18746053451,0.07077202700363511,0.06892981306127655,0.0034261245935277456,Cu,40.08226989209652,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.12739212810993195,sphere,1.0
31,466.6155918821946,0.07081755593803786,0.06893270091917493,0.0034261245935277456,Cu,40.08226989209652,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.12739212810993195,sphere,1.0
31,467.0437125031241,0.07079646017699115,0.06893556209038781,0.0034261245935277456,Cu,40.08226989209652,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.12739212810993195,sphere,1.0
31,467.47182239729835,0.07042395693135936,0.0689391245694676,0.0034261245935277456,Cu,40.08226989209652,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.12739212810993195,sphere,1.0
31,467.8999215647174,0.06999668654738238,0.06894260977502581,0.0034261245935277456,Cu,40.08226989209652,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.12739212810993195,sphere,1.0
31,468.32801000538126,0.06966568338249754,0.06894639086135593,0.0034261245935277456,Cu,40.08226989209652,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.12739212810993195,sphere,1.0
31,468.75608771928995,0.07012797667260652,0.0689502616864787,0.0034261245935277456,Cu,40.08226989209652,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.12739212810993195,sphere,1.0
31,469.1841547064435,0.07052969502407705,0.06895413615133207,0.0034261245935277456,Cu,40.08226989209652,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.12739212810993195,sphere,1.0
31,469.6122109668418,0.07010309278350516,0.0689581049051861,0.0034261245935277456,Cu,40.08226989209652,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.12739212810993195,sphere,1.0
