spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_matrix_fraction,layer_2_matrix,layer_2_thickness_nm,layer_2_matrix_shape,layer_2_matrix_fraction,layer_3_matrix,layer_3_thickness_nm,layer_3_matrix_shape,layer_3_matrix_fraction
36,465.75931846007023,0.0737856388595565,0.07018306734928292,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,466.18746053451,0.07418788410886742,0.0702819164614622,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,466.6155918821946,0.07478677110530897,0.07029527078588164,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,467.0437125031241,0.0750644440625537,0.07030857166525324,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,467.47182239729835,0.07517458695281895,0.07032246749765149,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,467.8999215647174,0.07377200335289187,0.07033626502578659,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,468.32801000538126,0.0736968791500664,0.07035026585452753,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,468.75608771928995,0.07344391525702086,0.07036430342298636,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,469.1841547064435,0.07334630350194553,0.07037828628502998,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,469.6122109668418,0.07290794979079498,0.07039226301374359,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,470.040256500485,0.07303020616909063,0.07040614132866425,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,470.4682913073729,0.07268795218622208,0.07041871866173383,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,470.8963153875057,0.07225581395348837,0.07043113684991315,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,471.3243287408833,0.07128067484662577,0.07044251776527966,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,471.7523313675057,0.07171131848284167,0.07045312555156605,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,472.18032326737296,0.0721900089206066,0.07046356464956749,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,472.60830444048497,0.07292776791000592,0.07047363532775322,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,473.03627488684185,0.073078612209047,0.07048361116087475,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,473.46423460644354,0.07401363504496664,0.07049426751233888,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,473.89218359929004,0.0736043165467626,0.0705049746324417,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,474.32012186538134,0.07341546788206808,0.07051661921671874,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,474.74804940471745,0.07262927997745527,0.07052932182371414,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,475.1759662172984,0.07298054038919222,0.07054228186358669,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,475.60387230312415,0.07239229810223023,0.07055824186489539,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,476.03176766219474,0.07199395355228803,0.07057410335336199,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,476.45965229451014,0.07274336283185841,0.0705933191966327,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,476.88752620007034,0.07321116928446772,0.07061369419116811,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,477.31538937887535,0.0729398516163222,0.0706361367268932,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,477.74324183092523,0.07305672268907563,0.07066228193125478,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,478.17108355621986,0.07374269005847953,0.07068832385161554,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,478.59891455475935,0.07345058626465661,0.07072144799688611,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,479.02673482654365,0.07274007682458387,0.07075451535579974,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,479.45454437157275,0.07316840498600866,0.07079277604668317,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,479.88234318984667,0.07347826086956522,0.07083412820811896,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,480.31013128136544,0.07360329958755156,0.07087752535579966,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,480.737908646129,0.07347406215178903,0.07092713467324815,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,481.16567528413736,0.07376395534290271,0.0709766404455521,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,481.59343119539056,0.07365193101773136,0.07103225318955032,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,482.0211763798886,0.07377997349078202,0.07108857858547198,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,482.4489108376314,0.07397113205296434,0.07114797484452012,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
36,482.876634568619,0.07399312959014452,0.07121026510176921,0.003513992448785742,Cu,40.0,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,2.842657744884491,sphere,1.0
