spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_matrix_fraction,layer_2_matrix,layer_2_thickness_nm,layer_2_matrix_shape,layer_2_inc_1_material,layer_2_inc_1_shape,layer_2_inc_1_fraction,layer_2_matrix_fraction
36,465.75931846007023,0.09211155378486056,0.06825191800576885,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,466.18746053451,0.09111111111111113,0.0683456316364669,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,466.6155918821946,0.09123595505617979,0.06834812100395646,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,467.0437125031241,0.09111969111969113,0.06835058513489499,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,467.47182239729835,0.0915472936030618,0.06835375407129819,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,467.8999215647174,0.09161430119176599,0.06835684703138725,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,468.32801000538126,0.09313240043057051,0.06836024058635254,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,468.75608771928995,0.09170111287758348,0.06836372669899553,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,469.1841547064435,0.0911764705882353,0.0683672201664654,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,469.6122109668418,0.0907327141382869,0.06837081435845155,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,470.040256500485,0.09051662404092072,0.06837433208050354,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,470.4682913073729,0.09101772151898735,0.06837665968249278,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,470.8963153875057,0.09072000000000001,0.06837885499666735,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,471.3243287408833,0.08941176470588236,0.06838006440130796,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,471.7523313675057,0.08965517241379312,0.06838054428663703,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,472.18032326737296,0.08873720136518772,0.06838088807328106,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,472.60830444048497,0.0876263842079923,0.06838092280743338,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,473.03627488684185,0.08699287410926368,0.0683808856041249,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,473.46423460644354,0.08706994328922497,0.0683815869311787,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,473.89218359929004,0.08607359105728925,0.0683823681154845,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,474.32012186538134,0.08639260969976906,0.06838412624905842,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,474.74804940471745,0.08508924485125859,0.06838698339932893,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,475.1759662172984,0.08578181818181818,0.06839012255348081,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,475.60387230312415,0.08495511669658887,0.068396309226558,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,476.03176766219474,0.08355239786856128,0.06840241774848181,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,476.45965229451014,0.0834250764525994,0.06841191676750547,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,476.88752620007034,0.0833477135461605,0.06842259952033972,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,477.31538937887535,0.0826973965002134,0.06843537337663272,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,477.74324183092523,0.08344449134655973,0.06845187555539525,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,478.17108355621986,0.08398826979472142,0.0684682911566075,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,478.59891455475935,0.08370772442588727,0.06849180854740743,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
36,479.02673482654365,0.08269847799259565,0.06851528349135781,0.006839948038528919,Cu,40.201945304870605,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0
