spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_matrix_fraction,layer_2_matrix,layer_2_thickness_nm,layer_2_matrix_shape,layer_2_inc_1_material,layer_2_inc_1_shape,layer_2_inc_1_fraction,layer_2_matrix_fraction,layer_3_matrix,layer_3_thickness_nm,layer_3_matrix_shape,layer_3_matrix_fraction
51,465.75931846007023,0.07846971307120086,0.07832595426798006,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
51,466.18746053451,0.0784491897622293,0.07843189204120059,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
51,466.6155918821946,0.07800869695606538,0.07844809373046624,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
51,467.0437125031241,0.07829029385574356,0.07846423115482894,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
51,467.47182239729835,0.07794026776519054,0.07848094502338873,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
51,467.8999215647174,0.0782857142857143,0.07849755026631784,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
51,468.32801000538126,0.0784971098265896,0.07851432054092682,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
51,468.75608771928995,0.07916523727844484,0.07853110471347007,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
51,469.1841547064435,0.07833215945907875,0.07854780065400048,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
51,469.6122109668418,0.07800139567341242,0.07856443091651238,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
51,470.040256500485,0.07806201550387598,0.07858095250671573,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
51,470.4682913073729,0.07765027322404372,0.07859602940224945,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
51,470.8963153875057,0.07720226843100189,0.07861093007586037,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
51,471.3243287408833,0.07784652470871836,0.07862470840023436,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
51,471.7523313675057,0.0781688277322043,0.07863764948926356,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
51,472.18032326737296,0.07744058500914078,0.07865040298807259,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
51,472.60830444048497,0.07760435571687842,0.07866274548042407,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
51,473.03627488684185,0.07743067199793628,0.07867498290839549,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
51,473.46423460644354,0.07784560143626572,0.07868792975131063,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
51,473.89218359929004,0.07826883910386967,0.07870092459146155,0.005145231818652753,Cu,38.291412353515625,sphere,1.0,Cu2O,0.0,sphere,CuO,sphere,0.0,1.0,CuO,3.296286940574646,sphere,1.0
