spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_matrix_fraction,layer_2_matrix,layer_2_thickness_nm,layer_2_matrix_shape,layer_2_matrix_fraction,layer_3_matrix,layer_3_thickness_nm,layer_3_matrix_shape,layer_3_matrix_fraction
51,465.75931846007023,0.14012448762714438,0.13737034995573544,0.0024997924878172916,Cu,29.92814639210701,sphere,1.0,Cu2O,1.660624231211841,sphere,1.0,CuO,0.7383741373196244,sphere,1.0
51,466.18746053451,0.14008783886112372,0.13751540641337265,0.0024997924878172916,Cu,29.92814639210701,sphere,1.0,Cu2O,1.660624231211841,sphere,1.0,CuO,0.7383741373196244,sphere,1.0
51,466.6155918821946,0.13930124456440246,0.1375455783347973,0.0024997924878172916,Cu,29.92814639210701,sphere,1.0,Cu2O,1.660624231211841,sphere,1.0,CuO,0.7383741373196244,sphere,1.0
51,467.0437125031241,0.13980409617097062,0.1375755958839338,0.0024997924878172916,Cu,29.92814639210701,sphere,1.0,Cu2O,1.660624231211841,sphere,1.0,CuO,0.7383741373196244,sphere,1.0
51,467.47182239729835,0.13917904958069738,0.13760580705008915,0.0024997924878172916,Cu,29.92814639210701,sphere,1.0,Cu2O,1.660624231211841,sphere,1.0,CuO,0.7383741373196244,sphere,1.0
51,467.8999215647174,0.13979591836734695,0.13763583979540508,0.0024997924878172916,Cu,29.92814639210701,sphere,1.0,Cu2O,1.660624231211841,sphere,1.0,CuO,0.7383741373196244,sphere,1.0
51,468.32801000538126,0.14017341040462428,0.1376655856329718,0.0024997924878172916,Cu,29.92814639210701,sphere,1.0,Cu2O,1.660624231211841,sphere,1.0,CuO,0.7383741373196244,sphere,1.0
51,468.75608771928995,0.14136649514008004,0.1376951050958861,0.0024997924878172916,Cu,29.92814639210701,sphere,1.0,Cu2O,1.660624231211841,sphere,1.0,CuO,0.7383741373196244,sphere,1.0
51,469.1841547064435,0.13987885617692633,0.1377242184168835,0.0024997924878172916,Cu,29.92814639210701,sphere,1.0,Cu2O,1.660624231211841,sphere,1.0,CuO,0.7383741373196244,sphere,1.0
51,469.6122109668418,0.13928820655966503,0.1377526704365325,0.0024997924878172916,Cu,29.92814639210701,sphere,1.0,Cu2O,1.660624231211841,sphere,1.0,CuO,0.7383741373196244,sphere,1.0
51,470.040256500485,0.13939645625692137,0.13778094593328236,0.0024997924878172916,Cu,29.92814639210701,sphere,1.0,Cu2O,1.660624231211841,sphere,1.0,CuO,0.7383741373196244,sphere,1.0
51,470.4682913073729,0.13866120218579234,0.13780658778690658,0.0024997924878172916,Cu,29.92814639210701,sphere,1.0,Cu2O,1.660624231211841,sphere,1.0,CuO,0.7383741373196244,sphere,1.0
51,470.8963153875057,0.13786119362678909,0.13783192898260693,0.0024997924878172916,Cu,29.92814639210701,sphere,1.0,Cu2O,1.660624231211841,sphere,1.0,CuO,0.7383741373196244,sphere,1.0
51,471.3243287408833,0.1390116512655685,0.13785546756039158,0.0024997924878172916,Cu,29.92814639210701,sphere,1.0,Cu2O,1.660624231211841,sphere,1.0,CuO,0.7383741373196244,sphere,1.0
