spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_matrix_fraction,layer_2_matrix,layer_2_thickness_nm,layer_2_matrix_shape,layer_2_matrix_fraction,layer_3_matrix,layer_3_thickness_nm,layer_3_matrix_shape,layer_3_matrix_fraction
36,465.75931846007023,0.09211155378486056,0.067321526166248,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,466.18746053451,0.09111111111111113,0.06741450867536569,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,466.6155918821946,0.09123595505617979,0.06741706295789777,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,467.0437125031241,0.09111969111969113,0.06741959239145229,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,467.47182239729835,0.0915472936030618,0.06742282416277479,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,467.8999215647174,0.09161430119176599,0.06742598054773762,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,468.32801000538126,0.09313240043057051,0.06742943827408197,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,468.75608771928995,0.09170111287758348,0.06743298921607012,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,469.1841547064435,0.0911764705882353,0.06743654929206888,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,469.6122109668418,0.0907327141382869,0.06744021319936058,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,470.040256500485,0.09051662404092072,0.06744380122028265,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,470.4682913073729,0.09101772151898735,0.0674462134688292,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,470.8963153875057,0.09072000000000001,0.06744849470083315,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,471.3243287408833,0.08941176470588236,0.06744979942414972,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,471.7523313675057,0.08965517241379312,0.06745038153940099,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,472.18032326737296,0.08873720136518772,0.06745082886496274,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,472.60830444048497,0.0876263842079923,0.06745097053474712,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,473.03627488684185,0.08699287410926368,0.06745104080248715,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,473.46423460644354,0.08706994328922497,0.06745184348184537,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,473.89218359929004,0.08607359105728925,0.06745272530525442,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,474.32012186538134,0.08639260969976906,0.06745457545577349,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,474.74804940471745,0.08508924485125859,0.06745751493723852,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,475.1759662172984,0.08578181818181818,0.06746073381862781,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,475.60387230312415,0.08495511669658887,0.06746697306870887,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,476.03176766219474,0.08355239786856128,0.0674731347698893,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,476.45965229451014,0.0834250764525994,0.06748265655074506,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,476.88752620007034,0.0833477135461605,0.06749335138850486,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,477.31538937887535,0.0826973965002134,0.06750611846389487,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,477.74324183092523,0.08344449134655973,0.0675225803013127,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,478.17108355621986,0.08398826979472142,0.06753895626280712,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,478.59891455475935,0.08370772442588727,0.06756237002161943,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,479.02673482654365,0.08269847799259565,0.06758574166117226,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,479.45454437157275,0.08195678760701183,0.06761426958994923,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,479.88234318984667,0.08035369774919615,0.06764587058248829,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,480.31013128136544,0.07955431754874652,0.06767948698879254,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,480.737908646129,0.08022038567493114,0.0677192027865772,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,481.16567528413736,0.08072072072072073,0.06775882511327926,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,481.59343119539056,0.08174386920980928,0.06780437811303423,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,482.0211763798886,0.08276183087664858,0.06785062746946802,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,482.4489108376314,0.08317901234567901,0.0678998656960782,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,482.876634568619,0.08140404425791682,0.06795191977021106,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,483.30434757285144,0.08130401819560275,0.0680046324384947,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,483.73204985032874,0.08093093093093094,0.06806167005739064,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
36,484.15974140105084,0.08080327259204166,0.0681186215809497,0.006780071920154043,Cu,40.41513282060623,sphere,1.0,Cu2O,0.0,sphere,1.0,CuO,0.0,sphere,1.0
